iter,err_k,err_x
240,5.49765736e-04,7.99012569e-17
241,5.47453794e-04,8.84880771e-17
242,5.45161243e-04,8.22403241e-17
243,5.42887839e-04,8.13224885e-17
244,5.40633344e-04,8.67294126e-17
245,5.38397523e-04,8.11766184e-17
246,5.36180145e-04,8.24801622e-17
247,5.33980983e-04,8.05414621e-17
248,5.31799813e-04,7.87558384e-17
249,5.29636415e-04,8.17102022e-17
250,5.27490574e-04,8.06884804e-17
251,5.25362076e-04,8.31955283e-17
252,5.23250712e-04,7.76444110e-17
253,5.21156276e-04,8.01480948e-17
254,5.19078566e-04,8.16134464e-17
255,5.17017381e-04,8.17585371e-17
256,5.14972526e-04,8.05904980e-17
257,5.12943807e-04,8.00000835e-17
258,5.10931034e-04,8.30053668e-17
259,5.08934020e-04,8.30529480e-17
260,5.06952581e-04,8.14195900e-17
261,5.04986534e-04,7.85549303e-17
262,5.03035702e-04,7.88059854e-17
263,5.01099909e-04,8.54906850e-17
264,4.99178981e-04,8.36690411e-17
265,4.97272748e-04,7.98023079e-17
266,4.95381042e-04,8.16134464e-17
267,4.93503697e-04,7.96040410e-17
268,4.91640551e-04,8.01480948e-17
269,4.89791443e-04,8.05904980e-17
270,4.87956215e-04,8.38576975e-17
271,4.86134711e-04,8.11766184e-17
272,4.84326779e-04,8.21922725e-17
273,4.82532267e-04,7.84039114e-17
274,4.80751026e-04,7.75425822e-17
275,4.78982909e-04,8.32904462e-17
276,4.77227773e-04,8.14195900e-17
277,4.75485474e-04,8.44679211e-17
278,4.73755873e-04,8.39989118e-17
279,4.72038830e-04,8.17585371e-17
280,4.70334211e-04,8.11279368e-17
281,4.68641880e-04,8.42806306e-17
282,4.66961705e-04,8.00987881e-17
283,4.65293556e-04,8.23363432e-17
284,4.63637303e-04,7.70826880e-17
285,4.61992821e-04,7.97032361e-17
286,4.60359984e-04,8.00494510e-17
287,4.58738669e-04,8.21922725e-17
288,4.57128755e-04,7.92558805e-17
289,4.55530121e-04,8.12738942e-17
290,4.53942649e-04,8.60434323e-17
291,4.52366224e-04,8.12738942e-17
292,4.50800729e-04,8.56292063e-17
293,4.49246053e-04,8.03941749e-17
294,4.47702082e-04,8.23363432e-17
295,4.46168708e-04,8.08840891e-17
296,4.44645820e-04,8.09817163e-17
297,4.43133313e-04,8.07374270e-17
298,4.41631080e-04,8.22403241e-17
299,4.40139017e-04,8.37162450e-17
300,4.38657020e-04,8.38576975e-17
301,4.37184990e-04,8.16134464e-17
302,4.35722824e-04,8.08840891e-17
303,4.34270425e-04,8.06884804e-17
304,4.32827695e-04,7.95543971e-17
305,4.31394538e-04,7.86052055e-17
306,4.29970858e-04,8.17585371e-17
307,4.28556562e-04,8.39518668e-17
308,4.27151558e-04,8.31005019e-17
309,4.25755755e-04,8.35272691e-17
310,4.24369061e-04,8.34326206e-17
311,4.22991389e-04,8.41398891e-17
312,4.21622651e-04,8.25759024e-17
313,4.20262759e-04,7.79997648e-17
314,4.18911629e-04,7.96536540e-17
315,4.17569176e-04,8.54444613e-17
316,4.16235317e-04,8.12738942e-17
317,4.14909970e-04,7.63100388e-17
318,4.13593052e-04,8.06884804e-17
319,4.12284485e-04,8.46547973e-17
320,4.10984189e-04,8.07863440e-17
321,4.09692086e-04,8.23363432e-17
322,4.08408098e-04,8.05414621e-17
323,4.07132149e-04,8.13710537e-17
324,4.05864165e-04,8.34799583e-17
325,4.04604071e-04,7.72362903e-17
326,4.03351793e-04,8.26237309e-17
327,4.02107258e-04,8.23363432e-17
328,4.00870396e-04,7.83535071e-17
329,3.99641136e-04,8.38105732e-17
330,3.98419407e-04,8.32904462e-17
331,3.97205141e-04,7.68260017e-17
332,3.95998269e-04,7.90562432e-17
333,3.94798725e-04,8.19997844e-17
334,3.93606441e-04,7.66200335e-17
335,3.92421352e-04,7.97032361e-17
336,3.91243393e-04,8.31480287e-17
337,3.90072500e-04,8.48878140e-17
338,3.88908609e-04,8.22403241e-17
339,3.87751658e-04,8.46547973e-17
340,3.86601585e-04,8.59975057e-17
341,3.85458328e-04,8.08840891e-17
342,3.84321828e-04,8.11766184e-17
343,3.83192025e-04,8.53519389e-17
344,3.82068859e-04,8.02958334e-17
345,3.80952272e-04,8.25759024e-17
346,3.79842207e-04,8.31480287e-17
347,3.78738606e-04,8.08352313e-17
348,3.77641414e-04,8.63642345e-17
349,3.76550575e-04,8.00494510e-17
350,3.75466033e-04,8.33378646e-17
351,3.74387734e-04,7.99012569e-17
352,3.73315625e-04,7.37296462e-17
353,3.72249652e-04,8.11766184e-17
354,3.71189763e-04,7.92558805e-17
355,3.70135906e-04,7.50572582e-17
356,3.69088029e-04,8.47946841e-17
357,3.68046082e-04,7.93555108e-17
358,3.67010015e-04,8.15165758e-17
359,3.65979777e-04,7.80503976e-17
360,3.64955321e-04,7.83030703e-17
361,3.63936596e-04,7.98023079e-17
362,3.62923556e-04,8.43274922e-17
363,3.61916153e-04,8.48412618e-17
364,3.60914340e-04,8.11766184e-17
365,3.59918070e-04,8.54906850e-17
366,3.58927298e-04,8.37634224e-17
367,3.57941978e-04,7.62582505e-17
368,3.56962066e-04,8.26237309e-17
369,3.55987517e-04,8.74551944e-17
370,3.55018286e-04,8.25759024e-17
371,3.54054332e-04,8.11766184e-17
372,3.53095609e-04,7.87558384e-17
373,3.52142078e-04,8.46547973e-17
374,3.51193694e-04,7.97032361e-17
375,3.50250416e-04,8.10304858e-17
376,3.49312205e-04,8.65926512e-17
377,3.48379017e-04,8.24322504e-17
378,3.47450815e-04,8.22883476e-17
379,3.46527556e-04,8.44679211e-17
380,3.45609203e-04,8.33378646e-17
381,3.44695717e-04,8.15165758e-17
382,3.43787057e-04,8.51665924e-17
383,3.42883188e-04,7.92558805e-17
384,3.41984070e-04,8.23363432e-17
385,3.41089666e-04,8.16134464e-17
386,3.40199939e-04,8.14680973e-17
387,3.39314853e-04,8.51665924e-17
388,3.38434372e-04,8.33852561e-17
389,3.37558459e-04,8.06884804e-17
390,3.36687079e-04,8.03450192e-17
391,3.35820197e-04,8.11766184e-17
392,3.34957779e-04,8.19033708e-17
393,3.34099790e-04,8.11279368e-17
