iter,err_k,err_x
325,2.47033520e-01,7.99012569e-17
326,2.47014321e-01,7.70314192e-17
327,2.46995210e-01,7.64135101e-17
328,2.46976366e-01,7.79997648e-17
329,2.46957901e-01,7.75425822e-17
330,2.46939798e-01,7.54771622e-17
331,2.46921933e-01,7.42103226e-17
332,2.46904134e-01,7.67230867e-17
333,2.46886219e-01,7.63100388e-17
334,2.46868032e-01,7.76952753e-17
335,2.46849543e-01,7.93555108e-17
336,2.46830918e-01,7.52149969e-17
337,2.46812377e-01,8.00494510e-17
338,2.46794037e-01,7.67745615e-17
339,2.46775910e-01,7.93555108e-17
340,2.46757903e-01,7.74916176e-17
341,2.46739803e-01,7.88561005e-17
342,2.46721351e-01,8.04923963e-17
343,2.46702343e-01,7.92060183e-17
344,2.46682664e-01,7.98023079e-17
345,2.46662293e-01,7.39436659e-17
346,2.46641230e-01,7.71339228e-17
347,2.46619385e-01,7.94052791e-17
348,2.46596591e-01,7.58947430e-17
349,2.46572814e-01,7.84039114e-17
350,2.46548388e-01,7.85549303e-17
351,2.46523647e-01,7.63100388e-17
352,2.46498821e-01,8.12738942e-17
353,2.46474053e-01,8.15165758e-17
354,2.46448650e-01,7.79997648e-17
355,2.46422340e-01,7.87056594e-17
356,2.46395816e-01,7.83535071e-17
357,2.46369501e-01,7.75425822e-17
358,2.46343248e-01,7.65168415e-17
359,2.46317086e-01,8.03941749e-17
360,2.46291337e-01,7.81009975e-17
361,2.46266149e-01,7.75935133e-17
362,2.46241393e-01,7.73385224e-17
363,2.46216855e-01,7.57384200e-17
364,2.46192323e-01,7.82020992e-17
365,2.46167599e-01,7.52149969e-17
366,2.46142505e-01,7.95543971e-17
367,2.46116906e-01,7.90562432e-17
368,2.46090768e-01,7.52149969e-17
369,2.46064276e-01,7.77461064e-17
370,2.46037894e-01,7.63617920e-17
371,2.46012078e-01,7.89562352e-17
372,2.45986937e-01,7.91561248e-17
373,2.45962205e-01,7.82526010e-17
374,2.45937546e-01,7.67230867e-17
375,2.45912565e-01,8.09329174e-17
376,2.45886713e-01,7.61026742e-17
377,2.45859394e-01,7.98023079e-17
378,2.45830281e-01,8.02958334e-17
379,2.45799638e-01,7.68774075e-17
380,2.45767943e-01,7.74406195e-17
381,2.45735431e-01,7.71339228e-17
382,2.45702375e-01,7.84039114e-17
383,2.45669323e-01,7.81009975e-17
384,2.45637225e-01,7.67745615e-17
385,2.45606826e-01,7.90062550e-17
386,2.45578227e-01,8.24801622e-17
387,2.45551123e-01,7.84039114e-17
388,2.45525024e-01,7.92558805e-17
389,2.45499476e-01,8.05904980e-17
390,2.45474346e-01,7.48991872e-17
391,2.45449599e-01,7.89061837e-17
392,2.45424890e-01,7.93057113e-17
393,2.45399670e-01,7.66715774e-17
394,2.45373497e-01,8.24801622e-17
395,2.45346144e-01,7.70314192e-17
396,2.45317622e-01,7.70314192e-17
397,2.45288420e-01,7.92558805e-17
398,2.45259001e-01,7.89061837e-17
399,2.45229256e-01,8.00494510e-17
400,2.45198852e-01,8.04433006e-17
401,2.45167546e-01,7.83030703e-17
402,2.45135841e-01,7.96536540e-17
403,2.45104626e-01,7.58426712e-17
404,2.45073981e-01,7.81009975e-17
405,2.45043606e-01,7.38367336e-17
406,2.45013601e-01,7.67230867e-17
407,2.44983997e-01,7.51098745e-17
408,2.44954525e-01,7.89061837e-17
409,2.44925037e-01,7.42635391e-17
410,2.44895615e-01,8.06884804e-17
411,2.44866395e-01,7.98517977e-17
412,2.44837516e-01,7.89562352e-17
413,2.44809212e-01,7.92060183e-17
414,2.44781858e-01,7.74406195e-17
415,2.44755853e-01,7.96040410e-17
416,2.44731437e-01,7.99506854e-17
417,2.44708621e-01,7.95047221e-17
418,2.44687270e-01,7.76444110e-17
419,2.44667198e-01,7.68774075e-17
420,2.44648197e-01,7.74406195e-17
421,2.44630063e-01,7.98023079e-17
422,2.44612563e-01,7.63617920e-17
423,2.44595403e-01,7.83535071e-17
424,2.44578305e-01,7.65168415e-17
425,2.44561061e-01,7.53199725e-17
426,2.44543453e-01,8.02466174e-17
427,2.44525375e-01,7.51624541e-17
428,2.44506975e-01,7.94052791e-17
429,2.44488468e-01,8.17102022e-17
430,2.44469917e-01,7.65684549e-17
431,2.44451236e-01,8.13224885e-17
432,2.44432302e-01,7.48464227e-17
433,2.44413103e-01,7.75425822e-17
434,2.44393634e-01,7.67230867e-17
435,2.44373843e-01,7.67745615e-17
436,2.44353648e-01,7.90062550e-17
437,2.44332949e-01,8.12252709e-17
438,2.44311629e-01,7.76952753e-17
439,2.44289569e-01,7.80503976e-17
440,2.44266681e-01,7.59467792e-17
441,2.44242933e-01,7.78984006e-17
442,2.44218324e-01,7.69287790e-17
443,2.44192785e-01,7.65684549e-17
444,2.44166015e-01,8.04923963e-17
445,2.44137407e-01,8.02466174e-17
446,2.44106395e-01,7.52675030e-17
447,2.44073228e-01,7.76952753e-17
448,2.44038905e-01,8.03450192e-17
449,2.44004045e-01,7.65168415e-17
450,2.43968523e-01,7.70826880e-17
451,2.43931839e-01,8.10304858e-17
452,2.43893725e-01,7.88561005e-17
453,2.43854639e-01,7.68774075e-17
454,2.43815478e-01,7.99506854e-17
455,2.43776574e-01,7.79490992e-17
456,2.43737388e-01,7.77969042e-17
457,2.43697403e-01,7.74916176e-17
458,2.43657234e-01,7.94550162e-17
459,2.43617568e-01,7.65684549e-17
460,2.43578055e-01,7.74916176e-17
461,2.43538030e-01,7.83535071e-17
462,2.43497408e-01,7.54248020e-17
463,2.43456196e-01,7.53724055e-17
464,2.43413610e-01,7.71339228e-17
465,2.43368028e-01,7.36224030e-17
466,2.43317292e-01,7.88059854e-17
467,2.43259764e-01,7.85046229e-17
468,2.43196183e-01,7.95543971e-17
469,2.43129563e-01,7.90562432e-17
470,2.43061760e-01,7.84542833e-17
471,2.42992080e-01,7.61545683e-17
472,2.42918262e-01,8.22403241e-17
473,2.42837139e-01,7.71339228e-17
474,2.42745046e-01,7.66200335e-17
475,2.42638976e-01,7.74406195e-17
476,2.42524561e-01,7.88561005e-17
477,2.42411272e-01,7.67745615e-17
478,2.42302330e-01,7.98023079e-17
479,2.42205798e-01,7.62582505e-17
480,2.42121123e-01,8.16618386e-17
481,2.42045781e-01,7.65684549e-17
482,2.41977116e-01,8.00494510e-17
483,2.41912391e-01,8.00000835e-17
484,2.41848387e-01,7.88059854e-17
485,2.41782344e-01,8.09329174e-17
486,2.41715485e-01,8.00987881e-17
487,2.41650785e-01,7.73385224e-17
488,2.41589198e-01,8.02466174e-17
489,2.41530209e-01,7.91061997e-17
490,2.41473357e-01,7.58947430e-17
491,2.41418540e-01,7.82020992e-17
492,2.41365721e-01,7.92558805e-17
493,2.41314688e-01,7.75935133e-17
494,2.41265044e-01,7.94550162e-17
495,2.41215966e-01,7.70826880e-17
496,2.41165643e-01,7.68260017e-17
497,2.41111779e-01,8.15165758e-17
498,2.41053134e-01,7.45820403e-17
499,2.40990449e-01,7.78476689e-17
500,2.40926163e-01,7.57905635e-17
